Applicant_ID,Age,Monthly_Income_LKR,Business_Type,Utility_Bill_Late_Days,Mobile_Reload_Consistency,Digital_Literacy_Score,Community_Group_Member,Existing_Loans,Dependents,Loan_Default
1001,58,58930,2,4,0.3880297718430601,83.28319018690758,1,0,1,0
1002,48,35077,2,4,0.8645508084160616,36.243132261582915,0,1,2,0
1003,34,140881,2,21,0.6358621260361494,86.3641421296616,1,2,4,1
1004,62,55611,2,7,0.3321936403540826,11.006328420111522,0,0,1,0
1005,27,51984,3,9,0.666387540931682,92.50471753430145,0,1,0,0
1006,40,49060,3,5,0.9997710433247313,63.164351508289165,1,0,3,0
1007,58,117985,3,14,0.3204171933307309,5.439074852231118,1,2,1,1
1008,38,119056,1,15,0.8534055440956225,64.42567236508116,1,0,4,0
1009,42,78303,1,16,0.3658472025500464,97.42476541447562,1,2,2,1
1010,30,94207,1,7,0.82591066356807,6.9800654614628925,1,0,0,0
1011,30,110046,1,7,0.7876623384971306,55.46877097800863,1,1,2,0
1012,43,64287,2,24,0.4403915084803459,74.77943497593725,1,2,3,1
1013,55,128709,2,8,0.4606584940515599,81.02585866995314,0,2,1,1
1014,59,74711,2,1,0.8340171135703354,41.38274653207959,1,2,1,0
1015,43,46954,0,14,0.5691564095098501,20.4166559168243,1,0,4,0
1016,22,108340,3,17,0.784654422969447,4.234227877238384,1,0,1,0
1017,41,107101,1,2,0.31838731789266783,57.972615709722476,0,1,0,0
1018,21,106520,1,16,0.8820462255212429,45.29110702676108,1,2,3,0
1019,43,122062,2,3,0.7687077733458554,94.8744395149711,1,2,2,0
1020,63,137974,1,3,0.9255542470678673,6.060490771490978,1,0,3,0
1021,49,53574,1,13,0.305897903227978,68.53953434460057,0,0,1,0
1022,57,44184,3,8,0.6744116002884781,2.496622212005717,1,1,2,0
1023,21,54096,2,8,0.6792964680322602,17.143417671054273,0,1,4,0
1024,40,102728,3,24,0.482768592437426,45.357899992283414,0,0,3,0
1025,52,69016,0,22,0.5667731396554063,45.48724428028682,1,2,2,1
1026,31,46246,0,17,0.23038525063188278,68.5700542933644,1,1,2,1
1027,41,80558,0,9,0.7966880309016096,91.02130348677566,1,0,2,0
1028,63,53381,2,20,0.6394579835225392,63.90321589149208,1,0,0,0
1029,44,71455,1,3,0.24619284149533904,95.35350978515088,0,2,3,1
1030,46,127263,2,11,0.7446047143683885,88.16156398779977,0,0,2,0
1031,61,39018,2,7,0.5734256617849504,58.449979553079025,1,0,3,0
1032,47,46302,1,1,0.22756900754,83.37919509188274,0,1,2,0
1033,35,102506,3,21,0.9756861814784763,64.2577610323634,0,0,4,0
1034,34,76157,0,12,0.9592897144715524,7.8557830923727145,0,0,4,0
1035,63,89917,3,20,0.610321932917758,74.05647232595099,0,1,4,0
1036,22,127738,0,15,0.2749379365647282,9.490844126734622,1,2,1,1
1037,56,131646,2,1,0.8036969772788736,59.40827805697124,0,2,2,0
1038,26,118122,0,10,0.5935448800845833,70.26402058582289,1,1,1,0
1039,40,59519,2,9,0.44195798263150393,6.652760821085524,0,1,3,0
1040,28,131809,3,14,0.5931345420228454,23.079465392653177,1,2,1,1
1041,58,122487,2,16,0.6179553163243716,91.56722322616498,0,2,3,1
1042,37,91819,3,7,0.6501693592178714,61.631449223289636,1,2,3,0
1043,23,115910,1,17,0.5529789709242612,24.628601881053157,1,2,3,1
1044,44,106324,1,22,0.6846042425112453,69.06797711480066,0,2,1,1
1045,33,40408,1,8,0.934987768485102,59.67764199616896,1,1,2,0
1046,28,94379,2,24,0.48981446967887293,50.15756999179484,0,0,1,0
1047,45,60053,1,7,0.7805731705759593,97.61869749880837,1,2,2,0
1048,21,44446,0,13,0.9155620454593858,68.34537774075089,0,2,2,0
1049,39,35922,3,24,0.5647834206079496,37.544110966791266,1,0,3,0
1050,47,133723,3,17,0.5547646691055232,80.0073432076868,0,0,1,0
1051,26,86356,0,21,0.6816935882838236,88.45832929211878,1,0,2,0
1052,63,45789,2,19,0.6731254075379904,12.522055951683143,0,0,4,0
1053,27,132720,2,19,0.8452714738610216,20.055297784526648,0,0,2,0
1054,54,101656,3,20,0.5811867070226342,21.62270091277797,1,0,4,0
1055,33,79028,1,11,0.996898359711553,69.12118093865404,1,1,1,0
1056,36,99484,2,18,0.24757725509382464,60.30395550532833,0,0,1,0
1057,55,67154,2,13,0.2025342788645614,61.899156469858816,0,0,1,0
1058,59,117870,0,16,0.712158649247699,94.0773299689501,0,1,2,0
1059,23,37336,0,23,0.4387479298895014,77.5911532807306,0,0,0,0
1060,21,138677,1,20,0.39230591095958706,12.793692451178318,0,2,2,1
1061,25,102779,2,2,0.4495192640034244,34.7507082425181,1,2,2,0
1062,61,54029,2,22,0.40483805208396345,43.53936461757356,0,0,3,0
1063,23,94201,0,6,0.2246320397283583,39.59615887476049,0,1,3,0
1064,48,67265,2,16,0.977226433912471,66.93086091618792,1,2,2,0
1065,37,137916,3,11,0.3765963907622254,89.18931032565625,0,1,4,0
1066,45,147250,0,8,0.787223810071445,30.6051463522788,0,2,3,0
1067,63,78872,1,14,0.8100771157553404,55.18771364211857,0,0,2,0
1068,53,81197,0,17,0.9434059184057835,78.94094219135856,1,1,0,0
1069,29,90180,2,20,0.224439565674704,41.621805884534936,0,1,4,1
1070,55,58710,1,12,0.8976386707576063,16.811812839929587,1,1,1,0
1071,33,64486,0,20,0.6217809446718402,47.49509652637482,0,2,2,1
1072,50,106907,3,7,0.7060352879726624,5.5222520743028465,1,2,2,0
1073,34,106895,3,13,0.7155762216968269,94.23834540022769,0,2,4,0
1074,27,99435,0,7,0.8558382439877821,7.482120519497304,1,0,3,0
1075,33,75631,3,13,0.4667258577272884,43.84567152505782,1,2,3,1
1076,42,136532,3,6,0.7864409518879947,52.98812610885262,1,0,3,0
1077,59,55103,3,22,0.6228624877777578,98.53038322872855,0,1,1,0
1078,40,99772,1,11,0.8347152114442782,16.60218236428608,0,1,4,0
1079,35,49382,3,10,0.9924368262161067,11.443151861235856,0,0,4,0
1080,64,119291,3,21,0.360520813923009,0.8706147062543579,0,2,3,1
1081,37,136195,3,21,0.9957189132479984,15.55714368693023,0,0,3,0
1082,43,38756,1,10,0.2718497234262192,20.72729790676676,1,1,0,0
1083,45,55609,0,24,0.2018540383238511,63.05809415830923,0,1,0,1
1084,44,149074,2,21,0.23532954894226502,21.97067903914004,1,0,2,0
1085,64,51478,3,12,0.4734259237894094,2.052081472932521,1,2,2,1
